                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.53343,                0.82644,                0.42416,                0.91833,                0.93621,                0.91744,                0.96111,                0.84533,                0.93665,                0.91781,                0.96011,                0.83547,                0.59428,                0.93598,                0.42141,                0.93345,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.48473,                0.73076,                 0.3586,                0.89524,                0.94752,                0.92424,                0.96452,                0.84804,                0.94866,                0.92518,                0.96274,                0.83402,                0.59315,                0.96476,                0.41962,                0.93277,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.47521,                0.71013,                0.34153,                0.88845,                0.93636,                0.93534,                 0.9619,                0.84642,                0.93742,                0.93628,                0.96058,                0.83285,                0.58944,                 0.9543,                0.41717,                0.93159,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.47161,                0.69774,                0.33311,                 0.8887,                0.94091,                0.93491,                0.96213,                0.84853,                 0.9425,                0.93803,                0.96252,                0.83491,                0.58885,                0.95253,                0.41633,                0.92965,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.46819,                0.70327,                0.33017,                0.88253,                0.92677,                0.94336,                0.96582,                0.85254,                0.92725,                0.94521,                0.96378,                0.83771,                0.58692,                0.95296,                0.41341,                0.92795,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.45918,                0.69205,                 0.3267,                0.88289,                0.94021,                 0.9414,                0.96584,                 0.8512,                0.93966,                0.94047,                0.96312,                0.83487,                0.57996,                0.95039,                0.40957,                0.92396,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.46149,                0.68577,                0.32646,                0.88719,                0.94198,                0.93614,                0.96614,                0.85072,                0.94123,                0.93569,                0.96328,                0.83952,                0.57856,                0.94568,                0.40812,                0.92361,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.46154,                0.68684,                0.32397,                0.88498,                0.93572,                0.94823,                0.96766,                 0.8573,                 0.9362,                0.94855,                 0.9666,                0.84249,                0.57955,                0.95011,                 0.4031,                0.92488,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.44978,                 0.6693,                0.31432,                0.87516,                0.94632,                0.94157,                0.96765,                 0.8548,                0.94625,                0.94166,                0.96421,                0.84345,                0.57403,                 0.9424,                0.40358,                0.92035,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.45214,                0.67719,                0.31173,                0.87256,                0.94808,                0.93337,                0.96599,                0.85389,                0.94808,                0.93337,                0.96279,                0.84033,                 0.5748,                0.94291,                0.40604,                0.92207,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                 0.4429,                 0.6704,                0.31016,                0.87393,                 0.9459,                0.93677,                0.96675,                0.85414,                0.94634,                0.93714,                0.96363,                0.84197,                0.57683,                0.94814,                0.40494,                0.92305,             1.5303e-05,             1.5303e-05,             1.5303e-05
